,id,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,lang,retweet_count,favorite_count,longitude,latitude,place_id,place_full_name,place_name,place_type,place_country_code,place_country,place_contained_within,place_attributes,place_bounding_box,source_url,truncated,entities,extended_entities,handle
142,780576124023762944,"Having a small business owner for a dad may not get you multi-million-dollar bailouts, but it does teach you the va… https://t.co/3LV3pmjRBI",False,,2016-09-27T01:13:45,,,,False,en,2537,9180,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,True,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780576124023762944', 'indices': [117, 140], 'url': 'https://t.co/3LV3pmjRBI'}], 'hashtags': []}",,HillaryClinton
2776,752954885646278656,Taking on systemic racism—and rebuilding trust between police and citizens—will require contributions from us all. https://t.co/dXhKHEvZ2r,False,,2016-07-12T19:56:48,,,,False,en,2231,6738,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'media': [{'display_url': 'pic.twitter.com/dXhKHEvZ2r', 'expanded_url': 'http://twitter.com/HillaryClinton/status/752954885646278656/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 454, 'resize': 'fit', 'w': 680}, 'large': {'h': 1367, 'resize': 'fit', 'w': 2048}, 'medium': {'h': 801, 'resize': 'fit', 'w': 1200}}, 'id_str': '752954356417359872', 'indices': [115, 138], 'id': 752954356417359872, 'url': 'https://t.co/dXhKHEvZ2r', 'media_url_https': 'https://pbs.twimg.com/media/CnMH_3JW8AAaOym.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CnMH_3JW8AAaOym.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/dXhKHEvZ2r', 'expanded_url': 'http://twitter.com/HillaryClinton/status/752954885646278656/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 454, 'resize': 'fit', 'w': 680}, 'large': {'h': 1367, 'resize': 'fit', 'w': 2048}, 'medium': {'h': 801, 'resize': 'fit', 'w': 1200}}, 'id_str': '752954356417359872', 'indices': [115, 138], 'id': 752954356417359872, 'url': 'https://t.co/dXhKHEvZ2r', 'media_url_https': 'https://pbs.twimg.com/media/CnMH_3JW8AAaOym.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CnMH_3JW8AAaOym.jpg'}]}",HillaryClinton
4274,731602950523518976,"Made a new friend in Ohio.
https://t.co/a5eq9TuHn1",False,,2016-05-14T21:51:50,,,,False,en,1447,3521,,,,,,,,,,,,http://twitter.com,False,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'amp.twimg.com/v/22a4b203-aaa…', 'expanded_url': 'https://amp.twimg.com/v/22a4b203-aaa5-4ba1-9e22-b9f66a89bc0f', 'indices': [27, 50], 'url': 'https://t.co/a5eq9TuHn1'}], 'hashtags': []}",,HillaryClinton
2015,758492727583576064,"Our country does not feel 'great already' to the millions of wonderful people living in poverty, violence and despair.",False,,2016-07-28T02:42:13,,,,False,en,17116,50794,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,realDonaldTrump
2486,755975695940001792,MAKE AMERICA GREAT AGAIN! https://t.co/qL9rjb7OsD,False,,2016-07-21T04:00:25,,,,False,en,8769,25619,,,0eb9676d24b211f1,"Cleveland, OH",Cleveland,city,US,United States,[],{},"BoundingBox(type='Polygon', coordinates=[[[-81.877771, 41.392684], [-81.5331634, 41.392684], [-81.5331634, 41.599195], [-81.877771, 41.599195]]], _api=<tweepy.api.API object at 0x7f013ae30588>)",http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/qL9rjb7OsD', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/755975695940001792/video/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 340, 'resize': 'fit', 'w': 340}, 'large': {'h': 720, 'resize': 'fit', 'w': 720}, 'medium': {'h': 600, 'resize': 'fit', 'w': 600}}, 'id_str': '755975602436345856', 'indices': [26, 49], 'id': 755975602436345856, 'url': 'https://t.co/qL9rjb7OsD', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/755975602436345856/pu/img/XPzjVXQRQLKNYhp6.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/755975602436345856/pu/img/XPzjVXQRQLKNYhp6.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/qL9rjb7OsD', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 340, 'resize': 'fit', 'w': 340}, 'large': {'h': 720, 'resize': 'fit', 'w': 720}, 'medium': {'h': 600, 'resize': 'fit', 'w': 600}}, 'expanded_url': 'http://twitter.com/realDonaldTrump/status/755975695940001792/video/1', 'indices': [26, 49], 'id': 755975602436345856, 'url': 'https://t.co/qL9rjb7OsD', 'video_info': {'variants': [{'bitrate': 1280000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/755975602436345856/pu/vid/720x720/6jPpFqe7Nf92KRrY.mp4'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/755975602436345856/pu/vid/480x480/qrAYMWWH4zrmlz91.mp4'}, {'content_type': 'application/dash+xml', 'url': 'https://video.twimg.com/ext_tw_video/755975602436345856/pu/pl/no_OovlrduWGty0S.mpd'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/755975602436345856/pu/vid/240x240/DzyLEbXoLntfWEJb.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/755975602436345856/pu/pl/no_OovlrduWGty0S.m3u8'}], 'aspect_ratio': [1, 1], 'duration_millis': 35867}, 'id_str': '755975602436345856', 'additional_media_info': {'monetizable': False}, 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/755975602436345856/pu/img/XPzjVXQRQLKNYhp6.jpg', 'type': 'video', 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/755975602436345856/pu/img/XPzjVXQRQLKNYhp6.jpg'}]}",realDonaldTrump
3180,747107981079252992,We're with her. https://t.co/LgbPO7CEJR,True,dominiclowell,2016-06-26T16:43:17,,,,False,en,1477,4280,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'media': [{'display_url': 'pic.twitter.com/LgbPO7CEJR', 'sizes': {'large': {'h': 768, 'resize': 'fit', 'w': 1024}, 'small': {'h': 510, 'resize': 'fit', 'w': 680}, 'medium': {'h': 768, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'expanded_url': 'http://twitter.com/dominiclowell/status/747107140192567297/photo/1', 'indices': [35, 58], 'id': 747107137793437696, 'url': 'https://t.co/LgbPO7CEJR', 'source_status_id_str': '747107140192567297', 'source_user_id_str': '84126644', 'source_status_id': 747107140192567297, 'id_str': '747107137793437696', 'source_user_id': 84126644, 'media_url_https': 'https://pbs.twimg.com/media/Cl5B-8VWMAAaGVO.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/Cl5B-8VWMAAaGVO.jpg'}], 'user_mentions': [{'id_str': '84126644', 'name': 'Dominic Lowell', 'id': 84126644, 'screen_name': 'dominiclowell', 'indices': [3, 17]}], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/LgbPO7CEJR', 'sizes': {'large': {'h': 768, 'resize': 'fit', 'w': 1024}, 'small': {'h': 510, 'resize': 'fit', 'w': 680}, 'medium': {'h': 768, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'expanded_url': 'http://twitter.com/dominiclowell/status/747107140192567297/photo/1', 'indices': [35, 58], 'id': 747107137793437696, 'url': 'https://t.co/LgbPO7CEJR', 'source_status_id_str': '747107140192567297', 'source_user_id_str': '84126644', 'source_status_id': 747107140192567297, 'id_str': '747107137793437696', 'source_user_id': 84126644, 'media_url_https': 'https://pbs.twimg.com/media/Cl5B-8VWMAAaGVO.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/Cl5B-8VWMAAaGVO.jpg'}]}",HillaryClinton
3043,748851569190318080,"As Bernie Sanders said, Hillary Clinton has bad judgement. Bill's meeting was probably initiated and demanded by Hillary!",False,,2016-07-01T12:11:41,,,,False,en,6004,18374,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,realDonaldTrump
1400,764529295901528064,The failing @nytimes has become a newspaper of fiction. Their stories about me always quote non-existent unnamed sources. Very dishonest!,False,,2016-08-13T18:29:23,,,,False,en,9500,29725,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [{'id_str': '807095', 'name': 'The New York Times', 'id': 807095, 'screen_name': 'nytimes', 'indices': [12, 20]}], 'symbols': [], 'urls': [], 'hashtags': []}",,realDonaldTrump
3684,740362260154044417,"So proud of you, Mom &amp; grateful little girls can grow up knowing they can run for president  https://t.co/jgM7RbUAKQ",True,ChelseaClinton,2016-06-08T01:58:12,,,,True,en,5204,16717,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [{'id_str': '757303975', 'name': 'Chelsea Clinton', 'id': 757303975, 'screen_name': 'ChelseaClinton', 'indices': [3, 18]}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/hillaryclinton…', 'expanded_url': 'https://twitter.com/hillaryclinton/status/740349871073398785', 'indices': [117, 140], 'url': 'https://t.co/jgM7RbUAKQ'}], 'hashtags': []}",,HillaryClinton
3865,738017451636588544,"Trump U is devastating because it's metaphor for his whole campaign: promising hardworking Americans way to get ahead, but all based on lies",True,brianefallon,2016-06-01T14:40:46,,,,False,en,2498,3403,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [{'id_str': '42995067', 'name': 'Brian Fallon', 'id': 42995067, 'screen_name': 'brianefallon', 'indices': [3, 16]}], 'symbols': [], 'urls': [], 'hashtags': []}",,HillaryClinton
